species,Common Name,Threat Status,Original Map Link,Family
Penelope obscura,Dusky-Legged Guan,LC,https://mol.org/species/map/Penelope obscura,Cracidae
Pipile jacutinga,Black Fronted Piping Guan,EN,https://mol.org/species/map/Pipile jacutinga,Cracidae
Odontophorus capueira,Spot-Winged Wood-Quail,LC,https://mol.org/species/map/Odontophorus capueira,Odontophoridae
Tachybaptus dominicus,Short-Billed Grebe,LC,https://mol.org/species/map/Tachybaptus dominicus,Podicipedidae
Podilymbus podiceps,Pied-Billed Grebe,LC,https://mol.org/species/map/Podilymbus podiceps,Podicipedidae
Jabiru mycteria,Jabiru,LC,https://mol.org/species/map/Jabiru mycteria,Ciconiidae
Mycteria americana,Wood Stork,LC,https://mol.org/species/map/Mycteria americana,Ciconiidae
Anhinga anhinga,American Darter,LC,https://mol.org/species/map/Anhinga anhinga,Anhingidae
Nycticorax nycticorax,Black-Crowned Night-Heron,LC,https://mol.org/species/map/Nycticorax nycticorax,Ardeidae
Ardea alba,Great Egret,LC,https://mol.org/species/map/Ardea alba,Ardeidae
Ardea cocoi,Cocoi Heron,LC,https://mol.org/species/map/Ardea cocoi,Ardeidae
Syrigma sibilatrix,Whistling Heron,LC,https://mol.org/species/map/Syrigma sibilatrix,Ardeidae
Bubulcus ibis,Cattle Egret,LC,https://mol.org/species/map/Bubulcus ibis,Ardeidae
Pilherodius pileatus,Capped Heron,LC,https://mol.org/species/map/Pilherodius pileatus,Ardeidae
Butorides striata,Green-Backed Heron,LC,https://mol.org/species/map/Butorides striata,Ardeidae
Cochlearius cochlearius,Boat-Billed Heron,LC,https://mol.org/species/map/Cochlearius cochlearius,Ardeidae
Egretta thula,Snowy Egret,LC,https://mol.org/species/map/Egretta thula,Ardeidae
Tigrisoma lineatum,Rufescent Tiger-Heron,LC,https://mol.org/species/map/Tigrisoma lineatum,Ardeidae
Phimosus infuscatus,Bare-Faced Ibis,LC,https://mol.org/species/map/Phimosus infuscatus,Threskiornithidae
Platalea ajaja,Roseate Spoonbill,LC,https://mol.org/species/map/Platalea ajaja,Threskiornithidae
Plegadis chihi,White-Faced Ibis,LC,https://mol.org/species/map/Plegadis chihi,Threskiornithidae
Theristicus caudatus,Buff-Necked Ibis,LC,https://mol.org/species/map/Theristicus caudatus,Threskiornithidae
Mesembrinibis cayennensis,Green Ibis,LC,https://mol.org/species/map/Mesembrinibis cayennensis,Threskiornithidae
Coragyps atratus,Black Vulture,LC,https://mol.org/species/map/Coragyps atratus,Cathartidae
Sarcoramphus papa,King Vulture,LC,https://mol.org/species/map/Sarcoramphus papa,Cathartidae
Cathartes burrovianus,Lesser Yellow-Headed Vulture,LC,https://mol.org/species/map/Cathartes burrovianus,Cathartidae
Cathartes aura,Turkey Vulture,LC,https://mol.org/species/map/Cathartes aura,Cathartidae
Pandion haliaetus,Osprey,LC,https://mol.org/species/map/Pandion haliaetus,Pandionidae
Accipiter striatus,Plain-Breasted Hawk,LC,https://mol.org/species/map/Accipiter striatus,Accipitridae
Elanoides forficatus,Swallow-Tailed Kite,LC,https://mol.org/species/map/Elanoides forficatus,Accipitridae
Elanus leucurus,White-Tailed Kite,LC,https://mol.org/species/map/Elanus leucurus,Accipitridae
Harpia harpyja,Harpy Eagle,VU,https://mol.org/species/map/Harpia harpyja,Accipitridae
Spizaetus melanoleucus,Black And White Hawk Eagle,LC,https://mol.org/species/map/Spizaetus melanoleucus,Accipitridae
Spizaetus ornatus,Ornate Hawk-Eagle,NT,https://mol.org/species/map/Spizaetus ornatus,Accipitridae
Spizaetus tyrannus,Black Hawk-Eagle,LC,https://mol.org/species/map/Spizaetus tyrannus,Accipitridae
Harpagus diodon,Rufous-Thighed Kite,LC,https://mol.org/species/map/Harpagus diodon,Accipitridae
Buteogallus urubitinga,Great Black-Hawk,LC,https://mol.org/species/map/Buteogallus urubitinga,Accipitridae
Buteogallus meridionalis,Savanna Hawk,LC,https://mol.org/species/map/Buteogallus meridionalis,Accipitridae
Parabuteo unicinctus,Harris' Hawk,LC,https://mol.org/species/map/Parabuteo unicinctus,Accipitridae
Buteogallus coronatus,,EN,https://mol.org/species/map/Buteogallus coronatus,Accipitridae
Pseudastur polionotus,,NT,https://mol.org/species/map/Pseudastur polionotus,Accipitridae
Buteo brachyurus,Short-Tailed Hawk,LC,https://mol.org/species/map/Buteo brachyurus,Accipitridae
Buteo albonotatus,Zone-Tailed Hawk,LC,https://mol.org/species/map/Buteo albonotatus,Accipitridae
Circus buffoni,Long-Winged Harrier,LC,https://mol.org/species/map/Circus buffoni,Accipitridae
Busarellus nigricollis,Black-Collared Hawk,LC,https://mol.org/species/map/Busarellus nigricollis,Accipitridae
Geranospiza caerulescens,Crane Hawk,LC,https://mol.org/species/map/Geranospiza caerulescens,Accipitridae
Geranoaetus melanoleucus,Black-Chested Buzzard-Eagle,LC,https://mol.org/species/map/Geranoaetus melanoleucus,Accipitridae
Geranoaetus albicaudatus,,LC,https://mol.org/species/map/Geranoaetus albicaudatus,Accipitridae
Rupornis magnirostris,,LC,https://mol.org/species/map/Rupornis magnirostris,Accipitridae
